Hospital_Name,Hospital_Type,Address,contact,Specialities
DURGA SHANKAR HOSPITAL,Corporate,"Nalgonda, Miryalaguda, Miryalaguda",Kampasati Nagarau (8886912206),S5 - Orthopedic Surgery And Procedures
DURGA SHANKAR HOSPITAL,Corporate,"Nalgonda, Miryalaguda, Miryalaguda",Kampasati Nagarau (8886912206),S15 - Poly Trauma
District Hospital - Kingkoti,Government-TVVP,"Hyderabad, Nampally, GHMC",Dr B Shiva Prasad (8885923458),S1 - General Surgery
District Hospital - Kingkoti,Government-TVVP,"Hyderabad, Nampally, GHMC",Mis Rama(8074418478),S2 - Ent Surgery
District Hospital - Kingkoti,Government-TVVP,"Hyderabad, Nampally, GHMC",Chinthala Vijaya (9618703074),S3 - Ophthalmology Surgery
District Hospital - Kingkoti,Government-TVVP,"Hyderabad, Nampally, GHMC",Chinthala Vijaya (9618703074),S4 - Gynaecology And Obstetrics Surgery
District Hospital - Kingkoti,Government-TVVP,"Hyderabad, Nampally, GHMC",Chinthala Vijaya (9618703074),S5 - Orthopedic Surgery And Procedures
District Hospital - Kingkoti,Government-TVVP,"Hyderabad, Nampally, GHMC",Chinthala Vijaya (9618703074),S17 - Prostheses
District Hospital - Kingkoti,Government-TVVP,"Hyderabad, Nampally, GHMC",Chinthala Vijaya (9618703074),M1 - Critical Care
District Hospital - Kingkoti,Government-TVVP,"Hyderabad, Nampally, GHMC",Chinthala Vijaya (9618703074),M2 - General Medicine
District Hospital - Kingkoti,Government-TVVP,"Hyderabad, Nampally, GHMC",Chinthala Vijaya (9618703074),M3 - Infectious Diseases
District Hospital - Kingkoti,Government-TVVP,"Hyderabad, Nampally, GHMC",Chinthala Vijaya (9618703074),M4 - Pediatrics
District Hospital - Kingkoti,Government-TVVP,"Hyderabad, Nampally, GHMC",Chinthala Vijaya (9618703074),M8 - Pulmonology
District Hospital - Kingkoti,Government-TVVP,"Hyderabad, Nampally, GHMC",Chinthala Vijaya (9618703074),M9 - Dermatology
Dr Hari kishan eye care,Corporate,"Hyderabad, Himayathnagar, GHMC",Gulagattu Emima (7842232765),S3 - Ophthalmology Surgery
Dr.Bhoom Reddys Hospital,Corporate,"Karimnagar, Karimnagar, Karimnagar",R.Latha (8106156953),S1 - General Surgery
Dr.Bhoom Reddys Hospital,Corporate,"Karimnagar, Karimnagar, Karimnagar",R.Latha (8106156953),S4 - Gynaecology And Obstetrics Surgery
Dr.Bhoom Reddys Hospital,Corporate,"Karimnagar, Karimnagar, Karimnagar",R.Latha (8106156953),S5 - Orthopedic Surgery And Procedures
Dr.Bhoom Reddys Hospital,Corporate,"Karimnagar, Karimnagar, Karimnagar",R.Latha (8106156953),S6 - Surgical Gastro Enterology
Dr.Bhoom Reddys Hospital,Corporate,"Karimnagar, Karimnagar, Karimnagar",R.Latha (8106156953),S8 - Pediatric Surgeries
Dr.Bhoom Reddys Hospital,Corporate,"Karimnagar, Karimnagar, Karimnagar",R.Latha (8106156953),S9 - Genito Urinary Surgeries
Dr.Bhoom Reddys Hospital,Corporate,"Karimnagar, Karimnagar, Karimnagar",R.Latha (8106156953),S14 - Plastic Surgery
Dr.Bhoom Reddys Hospital,Corporate,"Karimnagar, Karimnagar, Karimnagar",R.Latha (8106156953),S15 - Poly Trauma
Dr.Bhoom Reddys Hospital,Corporate,"Karimnagar, Karimnagar, Karimnagar",R.Latha (8106156953),M1 - Critical Care
Dr.Bhoom Reddys Hospital,Corporate,"Karimnagar, Karimnagar, Karimnagar",R.Latha (8106156953),M2 - General Medicine
Dr.Bhoom Reddys Hospital,Corporate,"Karimnagar, Karimnagar, Karimnagar",R.Latha (8106156953),M3 - Infectious Diseases
Dr.Bhoom Reddys Hospital,Corporate,"Karimnagar, Karimnagar, Karimnagar",R.Latha (8106156953),M4 - Pediatrics
Dr.Bhoom Reddys Hospital,Corporate,"Karimnagar, Karimnagar, Karimnagar",R.Latha (8106156953),M8 - Pulmonology
Dr.Bhoom Reddys Hospital,Corporate,"Karimnagar, Karimnagar, Karimnagar",R.Latha (8106156953),M9 - Dermatology
Dr.Bhoom Reddys Hospital,Corporate,"Karimnagar, Karimnagar, Karimnagar",R.Latha (8106156953),M12 - Gastroenterology
Durga Bhai Deshmukh Hospital and Research Centre A unit of Andhra Mahila Shaba,Corporate,"Hyderabad, Amberpet, GHMC",Janaki S(7989390688),S1 - General Surgery
Durga Bhai Deshmukh Hospital and Research Centre A unit of Andhra Mahila Shaba,Corporate,"Hyderabad, Amberpet, GHMC",Mamidi Uma Maheswari (9490762979),S2 - Ent Surgery
Durga Bhai Deshmukh Hospital and Research Centre A unit of Andhra Mahila Shaba,Corporate,"Hyderabad, Amberpet, GHMC",Mamidi Uma Maheswari (9490762979),S4 - Gynaecology And Obstetrics Surgery
Durga Bhai Deshmukh Hospital and Research Centre A unit of Andhra Mahila Shaba,Corporate,"Hyderabad, Amberpet, GHMC",Mamidi Uma Maheswari (9490762979),S5 - Orthopedic Surgery And Procedures
Durga Bhai Deshmukh Hospital and Research Centre A unit of Andhra Mahila Shaba,Corporate,"Hyderabad, Amberpet, GHMC",Mamidi Uma Maheswari (9490762979),S6 - Surgical Gastro Enterology
Durga Bhai Deshmukh Hospital and Research Centre A unit of Andhra Mahila Shaba,Corporate,"Hyderabad, Amberpet, GHMC",Mamidi Uma Maheswari (9490762979),S7 - Cardiac And Cardiothoracic Surgery
Durga Bhai Deshmukh Hospital and Research Centre A unit of Andhra Mahila Shaba,Corporate,"Hyderabad, Amberpet, GHMC",Mamidi Uma Maheswari (9490762979),S8 - Pediatric Surgeries
Durga Bhai Deshmukh Hospital and Research Centre A unit of Andhra Mahila Shaba,Corporate,"Hyderabad, Amberpet, GHMC",Mamidi Uma Maheswari (9490762979),S9 - Genito Urinary Surgeries
Durga Bhai Deshmukh Hospital and Research Centre A unit of Andhra Mahila Shaba,Corporate,"Hyderabad, Amberpet, GHMC",Mamidi Uma Maheswari (9490762979),S10 - Neurosurgery
Durga Bhai Deshmukh Hospital and Research Centre A unit of Andhra Mahila Shaba,Corporate,"Hyderabad, Amberpet, GHMC",Mamidi Uma Maheswari (9490762979),S14 - Plastic Surgery
Durga Bhai Deshmukh Hospital and Research Centre A unit of Andhra Mahila Shaba,Corporate,"Hyderabad, Amberpet, GHMC",Mamidi Uma Maheswari (9490762979),S15 - Poly Trauma
Durga Bhai Deshmukh Hospital and Research Centre A unit of Andhra Mahila Shaba,Corporate,"Hyderabad, Amberpet, GHMC",Mamidi Uma Maheswari (9490762979),M1 - Critical Care
Durga Bhai Deshmukh Hospital and Research Centre A unit of Andhra Mahila Shaba,Corporate,"Hyderabad, Amberpet, GHMC",Mamidi Uma Maheswari (9490762979),M2 - General Medicine
Durga Bhai Deshmukh Hospital and Research Centre A unit of Andhra Mahila Shaba,Corporate,"Hyderabad, Amberpet, GHMC",Mamidi Uma Maheswari (9490762979),M4 - Pediatrics
Durga Bhai Deshmukh Hospital and Research Centre A unit of Andhra Mahila Shaba,Corporate,"Hyderabad, Amberpet, GHMC",Mamidi Uma Maheswari (9490762979),M5 - Cardiology
Durga Bhai Deshmukh Hospital and Research Centre A unit of Andhra Mahila Shaba,Corporate,"Hyderabad, Amberpet, GHMC",Mamidi Uma Maheswari (9490762979),M8 - Pulmonology
Durga Bhai Deshmukh Hospital and Research Centre A unit of Andhra Mahila Shaba,Corporate,"Hyderabad, Amberpet, GHMC",Mamidi Uma Maheswari (9490762979),M9 - Dermatology
Durga Bhai Deshmukh Hospital and Research Centre A unit of Andhra Mahila Shaba,Corporate,"Hyderabad, Amberpet, GHMC",Mamidi Uma Maheswari (9490762979),M12 - Gastroenterology
EKASHILAA HOSPITALS,Corporate,"Hanamkonda, Hanamkonda, Warangal",Naresh N(9177998625),S1 - General Surgery
EKASHILAA HOSPITALS,Corporate,"Hanamkonda, Hanamkonda, Warangal",Praveen Kumar T(9849366510),S5 - Orthopedic Surgery And Procedures
EKASHILAA HOSPITALS,Corporate,"Hanamkonda, Hanamkonda, Warangal",Mohd.Abdul Mustafa (9390167606),S7 - Cardiac And Cardiothoracic Surgery
EKASHILAA HOSPITALS,Corporate,"Hanamkonda, Hanamkonda, Warangal",P.Rambabu (9866702326),S9 - Genito Urinary Surgeries
EKASHILAA HOSPITALS,Corporate,"Hanamkonda, Hanamkonda, Warangal",Kande Swamy (9676411805),S15 - Poly Trauma
EKASHILAA HOSPITALS,Corporate,"Hanamkonda, Hanamkonda, Warangal",Kande Swamy (9676411805),M2 - General Medicine
EKASHILAA HOSPITALS,Corporate,"Hanamkonda, Hanamkonda, Warangal",Kande Swamy (9676411805),M5 - Cardiology
EKASHILAA HOSPITALS,Corporate,"Hanamkonda, Hanamkonda, Warangal",Kande Swamy (9676411805),M6 - Nephrology
EKASHILAA HOSPITALS,Corporate,"Hanamkonda, Hanamkonda, Warangal",Kande Swamy (9676411805),M7 - Neurology
GANGA HOSPITALS,Corporate,"Nizamabad, Armur, ARMOOR",Kolipyaka Sagar (9948762340),S5 - Orthopedic Surgery And Procedures
GANGA HOSPITALS,Corporate,"Nizamabad, Armur, ARMOOR",Kolipyaka Sagar (9948762340),S15 - Poly Trauma
GEETA ORTHOPEDICand MATERNITY NURSING HOME,Corporate,"Jagtial, Jagitial Rural, Jagtial",Pandiri Sridhar (9441459088),S5 - Orthopedic Surgery And Procedures
GEETA ORTHOPEDICand MATERNITY NURSING HOME,Corporate,"Jagtial, Jagitial Rural, Jagtial",Pandiri Sridhar (9441459088),S5 - Orthopedic Surgery And Procedures
GEETA ORTHOPEDICand MATERNITY NURSING HOME,Corporate,"Jagtial, Jagitial Rural, Jagtial",Pandiri Sridhar (9441459088),S15 - Poly Trauma
GEETA ORTHOPEDICand MATERNITY NURSING HOME,Corporate,"Jagtial, Jagitial Rural, Jagtial",Pandiri Sridhar (9441459088),S15 - Poly Trauma
GLOBAL EYE AND LASER HOSPITAL PVT LTD,Corporate,"Medchal, Kukatpally, GHMC",Jangili. Soujanya(9492457031),S3 - Ophthalmology Surgery
GOKUL VENKATESHWARA MULTI SPECIALITY HOSPITAL,Corporate,"Sangareddy, Sangareddy, Sangareddy",Chevula Ramesh (7382186112),S1 - General Surgery
GOKUL VENKATESHWARA MULTI SPECIALITY HOSPITAL,Corporate,"Sangareddy, Sangareddy, Sangareddy",Gatpally Vinod (9182060282),S4 - Gynaecology And Obstetrics Surgery
GOKUL VENKATESHWARA MULTI SPECIALITY HOSPITAL,Corporate,"Sangareddy, Sangareddy, Sangareddy",Gatpally Vinod (9182060282),S5 - Orthopedic Surgery And Procedures
GOKUL VENKATESHWARA MULTI SPECIALITY HOSPITAL,Corporate,"Sangareddy, Sangareddy, Sangareddy",Gatpally Vinod (9182060282),S9 - Genito Urinary Surgeries
GOKUL VENKATESHWARA MULTI SPECIALITY HOSPITAL,Corporate,"Sangareddy, Sangareddy, Sangareddy",Gatpally Vinod (9182060282),S15 - Poly Trauma
GOKUL VENKATESHWARA MULTI SPECIALITY HOSPITAL,Corporate,"Sangareddy, Sangareddy, Sangareddy",Gatpally Vinod (9182060282),M2 - General Medicine
GOKUL VENKATESHWARA MULTI SPECIALITY HOSPITAL,Corporate,"Sangareddy, Sangareddy, Sangareddy",Gatpally Vinod (9182060282),M4 - Pediatrics
GOKUL VENKATESHWARA MULTI SPECIALITY HOSPITAL,Corporate,"Sangareddy, Sangareddy, Sangareddy",Gatpally Vinod (9182060282),M6 - Nephrology
Gandhi Hospitals,Government-DME,"Hyderabad, Secunderabad, GHMC",Shankara Murthi (8520959502),S1 - General Surgery
Gandhi Hospitals,Government-DME,"Hyderabad, Secunderabad, GHMC",Phani Kumari Phani Kumari(8977132508),S2 - Ent Surgery
Gandhi Hospitals,Government-DME,"Hyderabad, Secunderabad, GHMC",S.Kalpana (8341508709),S3 - Ophthalmology Surgery
Gandhi Hospitals,Government-DME,"Hyderabad, Secunderabad, GHMC",K.Vijay Kumar (9392493117),S4 - Gynaecology And Obstetrics Surgery
Gandhi Hospitals,Government-DME,"Hyderabad, Secunderabad, GHMC",A.Narsing Rao(9989923481),S5 - Orthopedic Surgery And Procedures
Gandhi Hospitals,Government-DME,"Hyderabad, Secunderabad, GHMC",Durga Bai (7386366410),S6 - Surgical Gastro Enterology
Gandhi Hospitals,Government-DME,"Hyderabad, Secunderabad, GHMC",G.Sujatha (9059083224),S7 - Cardiac And Cardiothoracic Surgery
Gandhi Hospitals,Government-DME,"Hyderabad, Secunderabad, GHMC",Lakshmipriya Kandukuri (),S8 - Pediatric Surgeries
Gandhi Hospitals,Government-DME,"Hyderabad, Secunderabad, GHMC",Lakshmipriya Kandukuri (),S9 - Genito Urinary Surgeries
Gandhi Hospitals,Government-DME,"Hyderabad, Secunderabad, GHMC",Lakshmipriya Kandukuri (),S10 - Neurosurgery
Gandhi Hospitals,Government-DME,"Hyderabad, Secunderabad, GHMC",Lakshmipriya Kandukuri (),S11 - Surgical Oncology
Gandhi Hospitals,Government-DME,"Hyderabad, Secunderabad, GHMC",Lakshmipriya Kandukuri (),S14 - Plastic Surgery
Gandhi Hospitals,Government-DME,"Hyderabad, Secunderabad, GHMC",Lakshmipriya Kandukuri (),S15 - Poly Trauma
Gandhi Hospitals,Government-DME,"Hyderabad, Secunderabad, GHMC",Lakshmipriya Kandukuri (),S17 - Prostheses
Gandhi Hospitals,Government-DME,"Hyderabad, Secunderabad, GHMC",Lakshmipriya Kandukuri (),M1 - Critical Care
Gandhi Hospitals,Government-DME,"Hyderabad, Secunderabad, GHMC",Lakshmipriya Kandukuri (),M2 - General Medicine
Gandhi Hospitals,Government-DME,"Hyderabad, Secunderabad, GHMC",Lakshmipriya Kandukuri (),M3 - Infectious Diseases
Gandhi Hospitals,Government-DME,"Hyderabad, Secunderabad, GHMC",Lakshmipriya Kandukuri (),M4 - Pediatrics
Gandhi Hospitals,Government-DME,"Hyderabad, Secunderabad, GHMC",Lakshmipriya Kandukuri (),M5 - Cardiology
Gandhi Hospitals,Government-DME,"Hyderabad, Secunderabad, GHMC",Lakshmipriya Kandukuri (),M6 - Nephrology
Gandhi Hospitals,Government-DME,"Hyderabad, Secunderabad, GHMC",Lakshmipriya Kandukuri (),M7 - Neurology
Gandhi Hospitals,Government-DME,"Hyderabad, Secunderabad, GHMC",Lakshmipriya Kandukuri (),M8 - Pulmonology
Gandhi Hospitals,Government-DME,"Hyderabad, Secunderabad, GHMC",Lakshmipriya Kandukuri (),M9 - Dermatology
Gandhi Hospitals,Government-DME,"Hyderabad, Secunderabad, GHMC",Lakshmipriya Kandukuri (),M10 - Rheumatology
Gandhi Hospitals,Government-DME,"Hyderabad, Secunderabad, GHMC",Lakshmipriya Kandukuri (),M11 - Endocrinology
Gandhi Hospitals,Government-DME,"Hyderabad, Secunderabad, GHMC",Lakshmipriya Kandukuri (),M12 - Gastroenterology
Gandhi Hospitals,Government-DME,"Hyderabad, Secunderabad, GHMC",Lakshmipriya Kandukuri (),S19 - Organ Transplantation Surgery
Gandhi Hospitals,Government-DME,"Hyderabad, Secunderabad, GHMC",Lakshmipriya Kandukuri (),S19.1 - Liver Transplantation Surgery
Gandhi Hospitals,Government-DME,"Hyderabad, Secunderabad, GHMC",Lakshmipriya Kandukuri (),S19.2 - Heart Transplantation Surgery
Gandhi Hospitals,Government-DME,"Hyderabad, Secunderabad, GHMC",Lakshmipriya Kandukuri (),S19.3 - Renal Transplantation Surgery
Gandhi Hospitals,Government-DME,"Hyderabad, Secunderabad, GHMC",Lakshmipriya Kandukuri (),S19.4 - Lung Transplantation Surgery
Gandhi Hospitals,Government-DME,"Hyderabad, Secunderabad, GHMC",Lakshmipriya Kandukuri (),S19.5 - Allogenic Stem Cell Transplantation
Gandhi Hospitals,Government-DME,"Hyderabad, Secunderabad, GHMC",Lakshmipriya Kandukuri (),S19.6 - Autologous Stem Cell Transplantation
Gandhi Hospitals,Government-DME,"Hyderabad, Secunderabad, GHMC",Lakshmipriya Kandukuri (),S19.7 - Heart And Lung Transplantation Surgery
Gandhi Hospitals,Government-DME,"Hyderabad, Secunderabad, GHMC",Lakshmipriya Kandukuri (),M15 - Medical Oncology
Gandhi Hospitals,Government-DME,"Hyderabad, Secunderabad, GHMC",Lakshmipriya Kandukuri (),M16 - Radiation Oncology
Governemnt General Hospital - Ramagundam,Government-DME,"Peddapalli, Ramagundam, Ramagundam",Ch Rama Devi(7013308118),S1 - General Surgery
Governemnt General Hospital - Ramagundam,Government-DME,"Peddapalli, Ramagundam, Ramagundam",Mohemmed Shabbir (8919129111),S2 - Ent Surgery
Governemnt General Hospital - Ramagundam,Government-DME,"Peddapalli, Ramagundam, Ramagundam",Dasari Kalpana (8074690077),S3 - Ophthalmology Surgery
Governemnt General Hospital - Ramagundam,Government-DME,"Peddapalli, Ramagundam, Ramagundam",Dasari Kalpana (8074690077),S4 - Gynaecology And Obstetrics Surgery
Governemnt General Hospital - Ramagundam,Government-DME,"Peddapalli, Ramagundam, Ramagundam",Dasari Kalpana (8074690077),S5 - Orthopedic Surgery And Procedures
Governemnt General Hospital - Ramagundam,Government-DME,"Peddapalli, Ramagundam, Ramagundam",Dasari Kalpana (8074690077),S6 - Surgical Gastro Enterology
Governemnt General Hospital - Ramagundam,Government-DME,"Peddapalli, Ramagundam, Ramagundam",Dasari Kalpana (8074690077),S7 - Cardiac And Cardiothoracic Surgery
Governemnt General Hospital - Ramagundam,Government-DME,"Peddapalli, Ramagundam, Ramagundam",Dasari Kalpana (8074690077),S8 - Pediatric Surgeries
Governemnt General Hospital - Ramagundam,Government-DME,"Peddapalli, Ramagundam, Ramagundam",Dasari Kalpana (8074690077),S9 - Genito Urinary Surgeries
Governemnt General Hospital - Ramagundam,Government-DME,"Peddapalli, Ramagundam, Ramagundam",Dasari Kalpana (8074690077),S10 - Neurosurgery
Governemnt General Hospital - Ramagundam,Government-DME,"Peddapalli, Ramagundam, Ramagundam",Dasari Kalpana (8074690077),S11 - Surgical Oncology
Governemnt General Hospital - Ramagundam,Government-DME,"Peddapalli, Ramagundam, Ramagundam",Dasari Kalpana (8074690077),S14 - Plastic Surgery
Governemnt General Hospital - Ramagundam,Government-DME,"Peddapalli, Ramagundam, Ramagundam",Dasari Kalpana (8074690077),S15 - Poly Trauma
Governemnt General Hospital - Ramagundam,Government-DME,"Peddapalli, Ramagundam, Ramagundam",Dasari Kalpana (8074690077),S17 - Prostheses
Governemnt General Hospital - Ramagundam,Government-DME,"Peddapalli, Ramagundam, Ramagundam",Dasari Kalpana (8074690077),M1 - Critical Care
Governemnt General Hospital - Ramagundam,Government-DME,"Peddapalli, Ramagundam, Ramagundam",Dasari Kalpana (8074690077),M2 - General Medicine
Governemnt General Hospital - Ramagundam,Government-DME,"Peddapalli, Ramagundam, Ramagundam",Dasari Kalpana (8074690077),M3 - Infectious Diseases
Governemnt General Hospital - Ramagundam,Government-DME,"Peddapalli, Ramagundam, Ramagundam",Dasari Kalpana (8074690077),M4 - Pediatrics
Governemnt General Hospital - Ramagundam,Government-DME,"Peddapalli, Ramagundam, Ramagundam",Dasari Kalpana (8074690077),M5 - Cardiology
Governemnt General Hospital - Ramagundam,Government-DME,"Peddapalli, Ramagundam, Ramagundam",Dasari Kalpana (8074690077),M6 - Nephrology
Governemnt General Hospital - Ramagundam,Government-DME,"Peddapalli, Ramagundam, Ramagundam",Dasari Kalpana (8074690077),M7 - Neurology
Governemnt General Hospital - Ramagundam,Government-DME,"Peddapalli, Ramagundam, Ramagundam",Dasari Kalpana (8074690077),M8 - Pulmonology
Governemnt General Hospital - Ramagundam,Government-DME,"Peddapalli, Ramagundam, Ramagundam",Dasari Kalpana (8074690077),M9 - Dermatology
Governemnt General Hospital - Ramagundam,Government-DME,"Peddapalli, Ramagundam, Ramagundam",Dasari Kalpana (8074690077),M10 - Rheumatology
Governemnt General Hospital - Ramagundam,Government-DME,"Peddapalli, Ramagundam, Ramagundam",Dasari Kalpana (8074690077),M11 - Endocrinology
Governemnt General Hospital - Ramagundam,Government-DME,"Peddapalli, Ramagundam, Ramagundam",Dasari Kalpana (8074690077),M12 - Gastroenterology
Governemnt General Hospital - Ramagundam,Government-DME,"Peddapalli, Ramagundam, Ramagundam",Dasari Kalpana (8074690077),S19.1 - Liver Transplantation Surgery
Governemnt General Hospital - Ramagundam,Government-DME,"Peddapalli, Ramagundam, Ramagundam",Dasari Kalpana (8074690077),S19.2 - Heart Transplantation Surgery
Governemnt General Hospital - Ramagundam,Government-DME,"Peddapalli, Ramagundam, Ramagundam",Dasari Kalpana (8074690077),S19.3 - Renal Transplantation Surgery
Governemnt General Hospital - Ramagundam,Government-DME,"Peddapalli, Ramagundam, Ramagundam",Dasari Kalpana (8074690077),S19.4 - Lung Transplantation Surgery
Governemnt General Hospital - Ramagundam,Government-DME,"Peddapalli, Ramagundam, Ramagundam",Dasari Kalpana (8074690077),S19.5 - Allogenic Stem Cell Transplantation
Governemnt General Hospital - Ramagundam,Government-DME,"Peddapalli, Ramagundam, Ramagundam",Dasari Kalpana (8074690077),S19.6 - Autologous Stem Cell Transplantation
Governemnt General Hospital - Ramagundam,Government-DME,"Peddapalli, Ramagundam, Ramagundam",Dasari Kalpana (8074690077),S19.7 - Heart And Lung Transplantation Surgery
Governemnt General Hospital - Ramagundam,Government-DME,"Peddapalli, Ramagundam, Ramagundam",Dasari Kalpana (8074690077),M15 - Medical Oncology
Governemnt General Hospital - Ramagundam,Government-DME,"Peddapalli, Ramagundam, Ramagundam",Dasari Kalpana (8074690077),M16 - Radiation Oncology
Government CD & TB hospital,Government-DME,"Hanamkonda, Hanamkonda, Warangal",Ch.Ramesh (9959259286),S1 - General Surgery
Government CD & TB hospital,Government-DME,"Hanamkonda, Hanamkonda, Warangal",Dr M G Krishna Murthy(9618855302),S2 - Ent Surgery
Government CD & TB hospital,Government-DME,"Hanamkonda, Hanamkonda, Warangal",Dr M G Krishna Murthy(9618855302),S3 - Ophthalmology Surgery
Government CD & TB hospital,Government-DME,"Hanamkonda, Hanamkonda, Warangal",Dr M G Krishna Murthy(9618855302),S4 - Gynaecology And Obstetrics Surgery
Government CD & TB hospital,Government-DME,"Hanamkonda, Hanamkonda, Warangal",Dr M G Krishna Murthy(9618855302),S5 - Orthopedic Surgery And Procedures
Government CD & TB hospital,Government-DME,"Hanamkonda, Hanamkonda, Warangal",Dr M G Krishna Murthy(9618855302),S6 - Surgical Gastro Enterology
Government CD & TB hospital,Government-DME,"Hanamkonda, Hanamkonda, Warangal",Dr M G Krishna Murthy(9618855302),S7 - Cardiac And Cardiothoracic Surgery
Government CD & TB hospital,Government-DME,"Hanamkonda, Hanamkonda, Warangal",Dr M G Krishna Murthy(9618855302),S8 - Pediatric Surgeries
Government CD & TB hospital,Government-DME,"Hanamkonda, Hanamkonda, Warangal",Dr M G Krishna Murthy(9618855302),S9 - Genito Urinary Surgeries
Government CD & TB hospital,Government-DME,"Hanamkonda, Hanamkonda, Warangal",Dr M G Krishna Murthy(9618855302),S10 - Neurosurgery
Government CD & TB hospital,Government-DME,"Hanamkonda, Hanamkonda, Warangal",Dr M G Krishna Murthy(9618855302),S11 - Surgical Oncology
Government CD & TB hospital,Government-DME,"Hanamkonda, Hanamkonda, Warangal",Dr M G Krishna Murthy(9618855302),S14 - Plastic Surgery
Government CD & TB hospital,Government-DME,"Hanamkonda, Hanamkonda, Warangal",Dr M G Krishna Murthy(9618855302),S15 - Poly Trauma
Government CD & TB hospital,Government-DME,"Hanamkonda, Hanamkonda, Warangal",Dr M G Krishna Murthy(9618855302),S17 - Prostheses
Government CD & TB hospital,Government-DME,"Hanamkonda, Hanamkonda, Warangal",Dr M G Krishna Murthy(9618855302),M1 - Critical Care
Government CD & TB hospital,Government-DME,"Hanamkonda, Hanamkonda, Warangal",Dr M G Krishna Murthy(9618855302),M2 - General Medicine
Government CD & TB hospital,Government-DME,"Hanamkonda, Hanamkonda, Warangal",Dr M G Krishna Murthy(9618855302),M3 - Infectious Diseases
Government CD & TB hospital,Government-DME,"Hanamkonda, Hanamkonda, Warangal",Dr M G Krishna Murthy(9618855302),M4 - Pediatrics
Government CD & TB hospital,Government-DME,"Hanamkonda, Hanamkonda, Warangal",Dr M G Krishna Murthy(9618855302),M5 - Cardiology
Government CD & TB hospital,Government-DME,"Hanamkonda, Hanamkonda, Warangal",Dr M G Krishna Murthy(9618855302),M6 - Nephrology
Government CD & TB hospital,Government-DME,"Hanamkonda, Hanamkonda, Warangal",Dr M G Krishna Murthy(9618855302),M7 - Neurology
Government CD & TB hospital,Government-DME,"Hanamkonda, Hanamkonda, Warangal",Dr M G Krishna Murthy(9618855302),M8 - Pulmonology
Government CD & TB hospital,Government-DME,"Hanamkonda, Hanamkonda, Warangal",Dr M G Krishna Murthy(9618855302),M9 - Dermatology
Government CD & TB hospital,Government-DME,"Hanamkonda, Hanamkonda, Warangal",Dr M G Krishna Murthy(9618855302),M10 - Rheumatology
Government CD & TB hospital,Government-DME,"Hanamkonda, Hanamkonda, Warangal",Dr M G Krishna Murthy(9618855302),M11 - Endocrinology
Government CD & TB hospital,Government-DME,"Hanamkonda, Hanamkonda, Warangal",Dr M G Krishna Murthy(9618855302),M12 - Gastroenterology
Government CD & TB hospital,Government-DME,"Hanamkonda, Hanamkonda, Warangal",Dr M G Krishna Murthy(9618855302),S19.1 - Liver Transplantation Surgery
Government CD & TB hospital,Government-DME,"Hanamkonda, Hanamkonda, Warangal",Dr M G Krishna Murthy(9618855302),S19.2 - Heart Transplantation Surgery
Government CD & TB hospital,Government-DME,"Hanamkonda, Hanamkonda, Warangal",Dr M G Krishna Murthy(9618855302),S19.3 - Renal Transplantation Surgery
Government CD & TB hospital,Government-DME,"Hanamkonda, Hanamkonda, Warangal",Dr M G Krishna Murthy(9618855302),S19.4 - Lung Transplantation Surgery
Government CD & TB hospital,Government-DME,"Hanamkonda, Hanamkonda, Warangal",Dr M G Krishna Murthy(9618855302),S19.5 - Allogenic Stem Cell Transplantation
Government CD & TB hospital,Government-DME,"Hanamkonda, Hanamkonda, Warangal",Dr M G Krishna Murthy(9618855302),S19.6 - Autologous Stem Cell Transplantation
Government CD & TB hospital,Government-DME,"Hanamkonda, Hanamkonda, Warangal",Dr M G Krishna Murthy(9618855302),S19.7 - Heart And Lung Transplantation Surgery
Government CD & TB hospital,Government-DME,"Hanamkonda, Hanamkonda, Warangal",Dr M G Krishna Murthy(9618855302),M15 - Medical Oncology
Government CD & TB hospital,Government-DME,"Hanamkonda, Hanamkonda, Warangal",Dr M G Krishna Murthy(9618855302),M16 - Radiation Oncology
Government Ent Hospital - Koti,Government-DME,"Hyderabad, Nampally, GHMC",Uday Sri (8143615714),S1 - General Surgery
Government Ent Hospital - Koti,Government-DME,"Hyderabad, Nampally, GHMC",K. Radhadevi(9705353493),S2 - Ent Surgery
Government Ent Hospital - Koti,Government-DME,"Hyderabad, Nampally, GHMC",Dr.D.Ranganath Swamy (9059662240),S3 - Ophthalmology Surgery
Government Ent Hospital - Koti,Government-DME,"Hyderabad, Nampally, GHMC",Togari Vajra (9912254082),S4 - Gynaecology And Obstetrics Surgery
Government Ent Hospital - Koti,Government-DME,"Hyderabad, Nampally, GHMC",Togari Vajra (9912254082),S5 - Orthopedic Surgery And Procedures
Government Ent Hospital - Koti,Government-DME,"Hyderabad, Nampally, GHMC",Togari Vajra (9912254082),S6 - Surgical Gastro Enterology
Government Ent Hospital - Koti,Government-DME,"Hyderabad, Nampally, GHMC",Togari Vajra (9912254082),S7 - Cardiac And Cardiothoracic Surgery
Government Ent Hospital - Koti,Government-DME,"Hyderabad, Nampally, GHMC",Togari Vajra (9912254082),S8 - Pediatric Surgeries
Government Ent Hospital - Koti,Government-DME,"Hyderabad, Nampally, GHMC",Togari Vajra (9912254082),S9 - Genito Urinary Surgeries
