Sr.No,KendraCode,Name,StateName,DistrictName,PinCode,Address
368,PMBJK07115,Dimple Kapoor/Sanjay Kapoor9873298298,Delhi,West,110059,"Shop No.1 On Gf, Prop. No. 128, Kh No. 254, Block-N, Gali No. 14, Jain Road, Bhagwati Garden, Uttam, West Delhi"
369,PMBJK07118,Pooja Chauhan,Delhi,South West,110058,"Shop No. 1, Gf, Wz -622-D, Block-C, Kochar Tower, Shiv Nagar Extn, Jail Road, South West Delhi"
370,PMBJK07138,Manita Chugh,Delhi,North,110009,"Shop No.1, Gf, Plot No. B-186/B, The Dera Ismail Khan Coop., House Building Soc. Ltd. Derawal, North Delhi"
371,PMBJK07145,Charu Rastogi,Delhi,North East,110092,"Shop No.2, Gf, Prop. No. 136, Kh No. 1771/1086 &1397/1084, Guru Nanak Pura Vill., North East Delhi"
372,PMBJK07203,Alok Goel,Delhi,North West,110088,"Shop No. 14, Gf Csc Pocket-Sd, Pitampura, North West Delhi"
373,PMBJK07204,Rajeev Mendiratta,Delhi,South West,110028,"Shop No. 30, Gf, Lsc, B-Wing, Near Naraina Vihar, Block A, South West Delhi"
374,PMBJK07205,Vivek Kumar,Delhi,West,110046,"Shop No.1 On Gf, Prop. No. 17 A, Kh No. 21/23 &24 & 34/3,4,7,8, Gali No. 2, Block A, West Sagarpur, West Delhi"
375,PMBJK07206,Parul Gupta,Delhi,North West,110085,"D-11/174, Sec-7, Rohini, North West Delhi"
376,PMBJK07207,Devesh Sharma,Delhi,North East,110094,"B-467, Main Road, Sonia Vihar, Delhi, North East Delhi"
377,PMBJK07208,Kapil,Delhi,North East,110093,"Onw Shop On Gf, At Prop. No. 1, Plot No. 1 & 2, A Block, Kh No. 678, Mandoli Road, Ashok Nagar, Shah, North East Delhi"
378,PMBJK07209,Aditya Sharma,Delhi,North,110007,"8/10, Singh Sabha Road, Chimny Wala Katra Subzi Mandi0, North Delhi"
379,PMBJK07212,Sachin Kumar,Delhi,North East,110093,"One Shop On Plot No.16, Gf, Kh?No. 537, Main Sewadham Road, Village Mandoli, North East Delhi"
380,PMBJK07224,Sushma Anand,Delhi,West,110063,"Shop No.3, Ground Floor, Pocket-Bg-6, Block-B Csc, West Delhi"
381,PMBJK07237,Loveneesh,Delhi,North East,110053,"B33/6-A, Arjun Mohalla, Maujpur, North East Delhi"
382,PMBJK07238,Neelam Choudhary,Delhi,North East,110053,"V-560, Street -9, Main Road, Vijay Park, Maujpur, Shahdara, North East Delhi"
383,PMBJK07258,Neeraj Batra,Delhi,North,110009,"Shop No.2, Gf, Property No.D.-45,Kh No.596/363, Old Gupta Colony, Vill- Rajpur Chhaoni, North Delhi"
384,PMBJK07264,Monica Chadha,Delhi,South,110014,"Shop At Prop. No.16/4, Front Portion On Ground Floor, Southern Side, Jangpura Lane, Bhogal, South Delhi"
385,PMBJK07275,Vijay Kumar Khurana,Delhi,West,110046,"Wz-312,Kh.No.163, Nangal Raya, Hari Nagar, West Delhi"
386,PMBJK07276,Vikas Kathuria,Delhi,South West,110059,"Shop No.4, Plot No.A-1 & 2, Kh No. 15/13, 40Feet Road,"
387,,,,,,"Aslat Pur Road Khadar, Chanakya Palace, Janak, South West Delhi"
388,PMBJK07277,Abhay Kumar Tiwari,Delhi,East,110096,"Shop No.3, G.F., Property No.B-1314, Gharoli Dairy Colony Mayur Vihar Phase-111, East Delhi"
389,PMBJK07278,Sushil Kumar Garg,Delhi,West,110008,"Gf,Mt-30-B(3376) Prem Nagar Road, Baljeet Nagar, West Delhi"
390,PMBJK07279,Amul Suri,Delhi,North,110034,"Wz-2933, Old T-21 (T-38-A) Kh No390,Gf, Rani Bagh,Sant Nagar, Sakur Basti, North Delhi"
391,PMBJK07280,Arunoday Gupta,Delhi,North,110052,"Shop No.12-A & 12-B,Gf, Property No.39, Deep Cinema Complex, Ashok Vihar Phase-1, North Delhi"
392,PMBJK07281,Manish Aggarwal,Delhi,North West,110009,"Shop No.16,Gf, Edward Line, Kingways Camp Gtb Nagar, North West Delhi"
393,PMBJK07282,Manish Aggarwal,Delhi,North West,110009,"Property No.872,Gf,Dr.Mukherjee Nagar, North West Delhi"
394,PMBJK07283,Ashok Jain,Delhi,North,110033,"Shop No. 3, Gf-A-1, Rajan Babu Road ( Moti Lal Road ), Adarsh Nagar, North Delhi"
395,PMBJK07284,Manish Aggarwal,Delhi,North,110033,"Shop No.22,23,24, Block E-4, Dda Market, Jahangir Puri, North Delhi"
396,PMBJK07285,Laxmi Sharma,Delhi,North West,110085,"Shop No.4, Gf, Property Bearing No. 28?29,Pocket-G-20, Sector-7, Rohini, North West Delhi"
397,PMBJK07286,Abhishek Panchal,Delhi,North West,110086,"Shop No.2,On Ground Floor, Prop No.R-1/18, Kh No.80/21, Budh Vihar Phase-I, Rithala, North West Delhi"
398,PMBJK07302,Rahul Kumar,Delhi,West,110028,"Shop No.34, Gf, Dda Central Market, Naraina, Phase-1, Rajinder Nagar, West Delhi"
399,PMBJK07303,Yogesh Gupta,Delhi,North West,110085,"Shop No.3, Gf,Kh.No.178, Main Road, Near State Bank Of India, Rithala, North West Delhi"
400,PMBJK07304,Ashima Katyal,Delhi,South,110019,"K-1/51, G/F,Left Portion Chittranjan Park,New Delhi, Kalka Ji, South Delhi"
401,PMBJK07310,Sachin Kumar Sharma,Delhi,North East,110094,"Shop At Property No.A-6, G F,Kh No.6/23, Main Nala Road, Ankur Enclave, Karawal Nagar, North East Delhi"
402,PMBJK07311,Mahanth Prasad,Delhi,South East,110044,"Property No.152, Ground Floor, Molarband Extn. Kh No. 244, Block-G, Gali No. 7, South East Delhi"
403,PMBJK07312,Anil Kumar Dhall,Delhi,North West,110034,"Shop No.14, Lsc Lu- Block Dda Market, Pitampura, North West Delhi"
404,PMBJK07318,Harsh Gupta,Delhi,East,110095,"Shop No. 21, Gf, Pocket-I, Dda Market, Csc, Dilshad Garden, East Delhi"
405,PMBJK07345,Pawan Kumar,Delhi,North East,110009,"Shop No.6,Gf, Bai Parmanand Colony, North East Delhi"
406,PMBJK07346,Imran Farooqui,Delhi,South West,110028,"Shop No.3On Ground Floor, Orop.No.Cb-165 Kh.No.984,Ring Road, Nariana, South West Delhi"
407,PMBJK07351,Mahesh Chander,Delhi,North West,110086,"Pvt. Shop No. 2, Gf, Plot No.7A/2,Kh. No.820, Hari Enclave, Block-B, Kirari Suleman Nagar, North West Delhi"
408,PMBJK07365,Amod Kumar Jha,Delhi,North West,110081,"Shop No. 3, Ground Floor, Plot No. 1, Khasra No. 97/13, Sukhvir Nagar Village, Karala, North West Delhi"
409,PMBJK07366,Himanshu Ahuja,Delhi,North West,110033,"Shop No. 1, Gf, Property No. C-1961, Jahangir Puri, North West Delhi"
410,PMBJK07368,Anmol Kumar,Delhi,North West,110041,"Shop No. 2, Gf, Plot No. 9, Kh.No. 128, Nangloi Jat, North West Delhi"
411,PMBJK07381,Mamta Pal,Delhi,South West,110059,"Shop No. 2, Gf, Plot No. 20, Kh. No. 48/25/20, Hastsal Extn. Uttam Nagar, South West Delhi"
412,PMBJK07390,Vinay Kumar Sharma,Delhi,North East,110094,"H. No. 24, Main Road, Karawal Nagar, North East Delhi"
413,PMBJK07392,Shilpa?Mittal,Delhi,North East,110053,"One Shop On G.F, Property No. B1/233, Yamuna Vihar, North"
414,,,,,,East Delhi
415,PMBJK07396,Shubham Jain,Delhi,North West,110085,"Shop No.G-31,32, Gf, Amba Tower, Plot No- 2, Dc Chowk, Sector-13, Rohini, North West Delhi"
416,PMBJK07404,Sangita Raj,Delhi,East,110091,"Shop No. G-4 & G-9, G.F, Krishna Arcade,Dda Lsc, Plot No.23, Mayur Vihar Phase-Ii, East Delhi"
417,PMBJK07432,Naresh Bhardwaj,Delhi,South,110044,"Shop No.1, On Gf, Prop.No.4-A (H.No.81/1), Kh.No.71/72/73? 81-82, Badarpur Extn, Mathura Road, South Delhi"
418,PMBJK07434,Raman Pal Singh,Delhi,South West,110028,"Shop No.Cb-212,G.F.,Village Naraina,Delhi Cantt., South West Delhi"
419,PMBJK07435,Mukta Singh,Delhi,West,110008,"Shop No.-,On Ground Floor, Prop.No. 15/5,East Patel Nagar, West Delhi"
420,PMBJK07436,Tarun Manrai,Delhi,South West,110037,"One Shop In Front Right Side, H No-73, Ground Floor, Vasant Kunj Road, Mahipalpur, South Delhi, South West"
421,PMBJK07437,Vaibhav Tayal,Delhi,North,110034,"Shop No.2, G/F, Property No. E-975, Saraswati Vihar, Pitampura, North Delhi"
422,PMBJK07438,Nikhil Kaushik,Delhi,North East,110032,"110032, North East Delhi"
423,PMBJK07449,Tarun Kaur,Delhi,West,110018,"11/57-A, Ground Floor, Tilak Nagar, West Delhi"
424,PMBJK07478,Naina Sharma,Delhi,North,110034,"One Shop On Ground Floor, Property No. 377, Main G.T.K. Road, Azadpur, North Delhi"
425,PMBJK07479,Narender Kumar Bhandari,Delhi,North,110007,"Shop No. 191, G.F, Kishan Ganj Market, Old Rohtak Road, North Delhi"
426,PMBJK07499,Radha Kumari,Delhi,Central,110005,"Shop No. 6, Ground Floor, Property No. 9-A/1, Karol Bagh, Central Delhi"
427,PMBJK07500,Ankur,Delhi,North West,110040,"Shop No.-4, G. F. Property No. G-203, Khasra No. -515, G- Block, Punjabi Colony, Narela, North West Delhi"
428,PMBJK07505,Shama,Delhi,North West,110035,"Shop No. 38, Dda Market, Block C-7, Keshav Puram, Wazirpur, North West Delhi"
429,PMBJK07523,Jyoti,Delhi,South,110068,"Shop No. 3, Gf, B-104, Maidan Garhi Extn. Chhatarpur- Maidan Garhi Road, South Delhi"
430,PMBJK07528,Devi Dass Harwani,Delhi,North,110007,"Shop No. 7A, Pratap Nagar Metro Station, Sadar Bazar, North Delhi"
431,PMBJK07540,Yogesh Kumar,Delhi,Shahdara,110093,"Shop At G.F. Property No. 11-A, Khasra No. 16, Khatoni No. 9/38, Village Saboli, Pratap Nagar, Shahd, Shahdara"
432,PMBJK07572,Ayush Raj Singh,Delhi,West,110059,"Shop No. 2 On Ground Floor, Prop, No. A-49, Kh. No. 545, Rama Park, Block-A, Uttam Nagar, West Delhi"
433,PMBJK07576,Salil Saurabh Sharma,Delhi,West,110008,"One Shop At Gf, House No. 2094/5-B, Gali No.16, Main Road Prem Nagar, West Delhi"
434,PMBJK07577,Anil Jain,Delhi,East,110092,"Shop No.2, G.F. Property No. 210, Kh. No. 563, Main Vikas Marg, Village Karkardooma, East Delhi"
435,PMBJK07578,Rahul Sharma,Delhi,North East,110053,"Shop No. 2, At Plot No.T-161, G.F. Kh.No 185 & 187 Gali No. 6, Gautampuri, Seelampur, North East Delhi"
436,PMBJK07579,Hasan Iqbal,Delhi,South,110006,"Pvt. Shop No. 50-A, Ground Floor, Municipal No.1896, Main Bazar, Lal Kuan, Ward No. V-Ii, South Delhi"
437,PMBJK07580,Ramveer Singh,Delhi,North East,110094,"Shop No. 1, G.F.Plot No. 47, Kh. No. 493 Killa No. 473, Gali No.-2, Main Road Tukmirpur, Karawal Nag, North East Delhi"
438,PMBJK07581,Anupma Devi,Delhi,North West,110052,"Property No.36, Ground Floor, Ashok Vihar Phase-4, Bharat Nagar, North West Delhi"
439,PMBJK07603,Nikhil Gupta,Delhi,East,110031,"One Shop On Ground, 1St & 2Nd Floor, Property No. 7/187,(Block No.7, Qtr. No. 187), Jheel Khuranja,, East Delhi"
440,PMBJK07604,Rohit Kumar,Delhi,North,110007,"Shop No. J-9, G-F, J-Block, Andha Mughal, Pratap Nagar, Delhi, North Delhi"
441,PMBJK07607,Vikrant Singh,Delhi,North East,110006,"One Shop On Ground Floor, Prop No. 3098, Main Road, Sita Ram Bazar, Delhi, North East Delhi"
442,PMBJK07615,Shruti,Delhi,North East,110053,"C-5/2, Gf, Yamuna Vihar, North East Delhi"
443,PMBJK07641,Pooja Jain,Delhi,North West,110007,"Shop No.2 (One Middle Shop) Property No. E11, Near Agarsain Gol Chakar, Kamla Nagar, Model Town, North West Delhi"
444,PMBJK07647,Sunil Kumar,Delhi,Central,110005,"Shop At Municipal No. 10950-51, G/F, Dori Walan, Karol Bagh, Central Delhi"
445,PMBJK07677,Madan Mohan,Delhi,North East,110094,"Shop At Property No. B-8/1, G.F, B- Block, Ganga Vihar, Gokalpur, North East Delhi"
446,PMBJK07680,Sarthak Preenja,Delhi,West,110059,"Shop No. 1, G.F, Z-12-B, Out Of Mustatil No. 89, Kill No. 16, Village Hastsal, Z-Block, Uttam Nagar, West Delhi"
447,PMBJK07690,Dimple,Delhi,West,110058,"Shop No. 1?A-3/11?Basement, Janakpuri, West Delhi"
448,PMBJK07723,Punita Makhijani,Delhi,East,110091,"East Delhi Municipal Corporation, East Delhi"
449,PMBJK07724,Vaibhav Tayal,Delhi,North West,110034,"Shop No. 7, Ground Floor, Plot No. 3, Shatabdi House Shoping Complex, Rohit Kunj, Pitampura, North West Delhi"
450,PMBJK07787,Salimudin,Delhi,North,110006,"T-355 (Part), Gf, Ahata Kidara, Near Chamelian Road,, North Delhi"
451,PMBJK07788,Imran Khan,Delhi,North East,110094,"One Shop At Property No. B-148/A, Ground Floor, Kh.No. 49/19/2, Gali No. 1, 20 Ft. Road, Maha Laxmi, North East Delhi"
452,PMBJK07803,Prashant,Delhi,North,110040,"Shop No. G-1, Ground Floor, Plot No. 4, Lsc, Pocket -5, Sector-A-10, Narela, North Delhi"
453,PMBJK07804,Himanshu Luthra,Delhi,North West,110083,"E-930, Block - E, Mangol Puri, North West Delhi"
454,PMBJK07843,Shivam Singh,Delhi,East,110031,"Shop At Property No.4929-C, G.F, Kh No. 690/442/3, Near Nala Road, East Old, Seelampur, Kanti Nagar, East Delhi"
455,PMBJK07945,Yashmita Arora,Delhi,East,110092,"D-384, Ground Floor, Kh. No. 25, Lalita Park, Laxmi Nagar, Village Shakarpur Khas, East Delhi"
456,PMBJK07946,Anjana Gera,Delhi,South,110003,"One Shop At Mcd No. 1407, Ground Floor, Kh. No. 386, Gurudwara Road Kotla Mubarakpur, South Delhi"
457,PMBJK07957,Palwinder Singh,Delhi,North,110084,"Shop No. 1, Gf, H No. 101, Kh. No. 122/19/2(0-15), 122/22(3-
5) & 137/2(4-0), Nehru Gali, Block A-2,, North Delhi"
458,PMBJK08015,Suresh Kumar Gupta,Delhi,North West,110009,"Shop No. 3, Northern Portion, Gf, C-1/A Model Town - Iii, North West Delhi"
459,PMBJK08019,Suresh Mittal,Delhi,East,110095,"Shop No G-6, Ground Floor, Arihant Tower, D-Block Market, Vivek Vihar, East Delhi"
460,PMBJK08040,Neha Thakur,Delhi,South,110080,"One Shop At G.F, Property No. D-5/21-A, D-Block, Kh.No. 1817/1430, Gali No. 5, South Delhi"
461,PMBJK08083,Mohit Knada,Delhi,West,110059,"Shop/ Property No. C-7,& C- 8, G.F. Out Of Rect. No. 10, Killa No. 16, Som Bazar Road, Jeewan Park,, West Delhi"
462,PMBJK08084,Manjeeta Goswami,Delhi,South,110076,"Shop No. 2, Ground Floor, Csc Market, Pocket - K & L, Sarita Vihar, South Delhi"
463,PMBJK08085,Ramandeep Singh,Delhi,West,110041,"One Shop On Ground Floor, Plot No. 5, Kh. No. 26/1, Nilothi Extn. Nangloi, West Delhi"
464,PMBJK08098,Suman Manchanda,Delhi,West,110041,"One Shop At G. F. Of Property No. Rza-240, Old No.9A, Khasra No. 83/19, Nihal Vihar, Nangloi, West Delhi"
465,PMBJK08134,Shiv Shankar,Delhi,North West,110081,"Shop No. 4, Khasra No. 93/23/2, Shiv Vihar Colony, Karala, North West Delhi"
466,PMBJK08195,Avdesh,Delhi,North West,110085,"Plot No. 30, Ground Floor, Pocket-9, Sec.- 24, Rohini, North West Delhi"
467,PMBJK08196,Mohit Kumar,Delhi,Shahdara,110094,"Shop No. 1, G.F. Property No. B-20, Village Gokalpur,"
468,,,,,,"Harijaqn Basti, Main Road East Gokulpur, Shahdara"
469,PMBJK08197,Chanda Kumari,Delhi,West,110005,"Shop No. 1, G.F. Plot No. 16, Gali No. 7, Gadodia Road, Than Singh Nagar, Anandparbat, West Delhi"
470,PMBJK08260,Pushpa Devi,Delhi,North East,110093,"Shop No. 44, Ground Floor, Lsc Market, Janta Flat, Near Durga Mandir, Nand Nagri, North East Delhi"
471,PMBJK08261,Monika Sharma,Delhi,West,110027,"Shop No. 2, Prop. No. B-2, Ground Floor, Najafgarh Road Residential Scheme Shooping Centre Village, West Delhi"
472,PMBJK08263,Sheetal,Delhi,North East,110052,"Shop No. J-Ii/78-79, Ground Floor, Sanjay Market, Wazirpur,
J.J. Colony, North East Delhi"
473,PMBJK08264,Akshay Agarwal,Delhi,South,110044,"Shop No. 1, Prop. No. D-358, Ground Floor Kh. No. 219, Pul Prahaladpur, South Delhi"
474,PMBJK08278,Parveen Suthar,Delhi,West,110059,"Shop No. 2, G.F. Portion Of Plot No. G-9, Kh. No. 173, Main Bindapur Matiala Road Nand Ram Park, G-B, West Delhi"
475,PMBJK08282,Musheer Alam,Delhi,South,110025,"Shop On Ground Floor, Proprty. No. 180/181, Kh No. 180/181, Street No. 7, Zakir Nagar, Okhla, South Delhi"
476,PMBJK08283,Kiran Jot Kaur,Delhi,North East,110053,"Shop No. 2, Gf, Property No. H-206/3A, Block -H, Opp. Gurudwara, New Seelam Pur, North East Delhi"
477,PMBJK08286,Sachin Kumar,Delhi,South West,110043,"One Shop At Property No. 831-D & 832-D, Ground Floor, Som Bazar, Nazafgarh, South West Delhi"
478,PMBJK08293,Harsha Sodhi,Delhi,Central,110055,"Property No. 1236-1237, Sangatrashan, Paharganj, Central Delhi"
479,PMBJK08300,Sunaina Arora,Delhi,Central,110060,"Shop No. 6, G.F., Property No. R-815, New Rajinder Nagar, Central Delhi"
480,PMBJK08313,Shiv Kumar Pathak,Delhi,West,110008,"One Shop At G. F. Property No. 770-771, Ground Floor, Baba Farid Puri, West Patel Nagar, West Delhi"
481,PMBJK08320,Chanda Singh,Delhi,North East,110092,"Shop No. 1, G.F, Property No. D-40, Kh. No. 1384/792, D- Block, Main Road Kalyan Marg, North East Delhi"
482,PMBJK08332,Anjana Devi,Delhi,North,110034,"Shop No. 1, G.F. Property No. G-254, G-Block, Jj Colony, Shakurpur Anandvas, North Delhi"
483,PMBJK08345,Pintu,Delhi,North West,110086,"Shop At Property No. 1/1-C, G.F. Kh. No. 219/2, Village Kirari Suleman Nagar, Indera Enclave Phase-I, North West Delhi"
484,PMBJK08346,Daleep,Delhi,North,110054,"Shop No. 14, Old Market, Timarpur, North Delhi"
485,PMBJK08402,Nitin Kaushik,Delhi,West,110042,"Shop At Plot No. 368, G.F. Rect & Kh. No. 86, Main Road Prahladpur Bangar, West Delhi"
486,PMBJK08406,Sushmita Barai,Delhi,South West,110067,"Shop No. Fd-1, F.F. Lsc, Dda Market, Phase-Ii, Munirka, South West Delhi"
487,PMBJK08407,Kamlesh,Delhi,South,110065,"Shop No. 4, Plot No. 88-A, Amrit Puri, Garhi East Of Kailash, South Delhi"
488,PMBJK08429,Sweta,Delhi,South,110044,"Shop No. 1, G.F. Plot No. 1/1, Kh. No.429, Village Molarband Extn, South Delhi"
489,PMBJK08435,Poonam,Delhi,North East,110094,"Shop No. 1 Plot No. A-548 Khasra No. 147, Main 20 Ft. Road, Meet Nagar, North East Delhi"
490,PMBJK08441,Rashmi Sharma,Delhi,East,110091,"One Shop On Ground Floor, Plot No. 189, Kh. No. 63, Pratap Nagar, Khudi Ram Bose Marg, Mayur Vihar P, East Delhi"
491,PMBJK08445,Jyoti Gaur,Delhi,South,110044,"Shop No. 3, G/F, Property No. 214, Block -B, Sindhu Farm Road, Meethapur Extn, Badarpur, South Delhi"
492,PMBJK08447,Gyanendra Kumar Singh,Delhi,North East,110094,"Shop No 1 ,Ground Floor,Property No A-1,Khasra No 213, Village Khajuri Khas Main Wazirabad Highyway, North East Delhi"
493,PMBJK08502,Ranajan Arora,Delhi,North,110054,"Shop At Plot No. B-413, Gf, Block B, Near Police Booth Nehru Vihar, North Delhi"
494,PMBJK08510,Ruchi Rani,Delhi,North East,110032,"Shop No.4, Plot No. 1/7209, Kh No. 2336/262 & 2238/269, Sarup Block, North East Delhi"
495,PMBJK08517,Pragati Sharma,Delhi,North East,110095,"Shop No. 6, Plot No. D-49, D- Block, Ground Floor, Kh No. 1076/5/2/461, New Seemapuri Road, Dilshad, North East Delhi"
496,PMBJK08537,Priya Kumari,Delhi,North,110054,"Shop At Plot No. L-31, Ground Floor, Aruna Nagar, Majnu Ka Teela, North Delhi"
497,PMBJK08589,Rakesh Kumar,Delhi,West,110078,"One Shop At Property No. D-6, Out Of Kh. No. 6/18, Nishant Park, Old Palam Road, Kakrola Mor, West Delhi"
498,PMBJK08594,Manjeet Kumar,Delhi,South West,110043,"One Shop At Plot No. 11-A, G.F. Kh. No. 11/3, Rao Tula Ram Market (Roshanpura), Najafgarh, South West Delhi"
499,PMBJK08605,Kamlesh Mittal,Delhi,East,110096,"Shop No. G-6, Ground Floor, Plot No. 3, Lsc-Ii, Vasundara Enclave, Dalla Pura, Chilla Vill. (Near Ma, East Delhi"
500,PMBJK08623,Mr. Zubair Alam Sheikh,Delhi,North East,110053,"Shop Pvt No. 4, Gf, Property No. 114, Kh. No. 103, Markazi Chowk, Jafrabad, North East Delhi"
501,PMBJK08624,Mrs. Chetna Bhatia,Delhi,South,110025,"Shop No. 3, Property No. 19/A, Ground Floor, Sarai Jullena, New Friends Colony, South Delhi"
502,PMBJK08631,Naresh Bhardwaj,Delhi,South,110044,"Shop On Ground Floor, Part Of Prop. No. 84,85, & 86, Kh. No. 435, Molar Band Ext, Badarpur, South Delhi"
503,PMBJK08639,Saba Saifi,Delhi,North,110093,"Shop No. 2 & 3, G.F. Property No. I-395, Sunder Nagri, Nand Nagri Extn, North Delhi"
504,PMBJK08652,Kirti Raizada,Delhi,North West,110035,"Shop No. 1, Plot No. 211, Gf, Main Road Rampura Tri Nagar, North West Delhi"
505,PMBJK08653,Navjeet Singh Bindra,Delhi,North West,110034,"Shop Pvt. No. G.F, Property No. Wz-651, Kh. No. 29/24, Gali No. 2, Sri Nagar, Shakur Bast, North West Delhi"
506,PMBJK08680,Renu Devi,Delhi,North West,110035,"Shop No. 1, Plot No. 58(Mpl No. 3769), Gf, Kh. No. 99, Street No. 3, Kanhaiya Nagar, Tri Nagar, North West Delhi"
507,PMBJK08685,Ashutosh Singh,Delhi,South East,110044,"Shop On Gf, Propertyno. E-1-108, Jaitpur Extension, Badarpur, South East Delhi"
508,PMBJK08687,Kunal,Delhi,South West,110073,"One Shop, G.F, H.No. 420, Pole No. 78, Vill. Dhansa, South West Delhi"
509,PMBJK08699,Mamta Gupta,Delhi,East,110091,"Shop No. 3, Gf, 6/281-282, Trilokpuri, East Delhi"
510,PMBJK08700,Varsha Saini,Delhi,South East,110014,"144-A, Bhagwan Nagar, Opp Jeevan Hospital, Ashram, South East Delhi"
511,PMBJK08761,Suman,Delhi,South,110019,"Shop Of Ground Floor(Right Side), Property No-87, Ram Puri, Kalkaji, South Delhi"
512,PMBJK08771,Vandana Kapoor,Delhi,Shahdara,110053,"Shop No.3, Gf, Plot No. B-19/5, Kh.No 207, Gamri Road, 5Th Pusta, Near Mother Dairy Booth No. 777, G, Shahdara"
513,PMBJK08775,Madhu Bala,Delhi,North West,110089,"One Shop On Gf, Property No. B-5/62, Sector -18, Rohini, North West Delhi"
514,PMBJK08783,Mamta Arora,Delhi,South East,110092,"A-37/2, Kh. No. 807, Kumaon Square, Gf, West Vinod Nagar, Keshav Marg, South East Delhi"
515,PMBJK08786,Vikas Aggrawal,Delhi,North,110084,"One Shop Pvt. No. 2, Gf, Kh. No. 38/9, Village Jharoda Majra, Gali No. 4, Sangam Vihar, North Delhi"
516,PMBJK08793,Deena Nath,Delhi,South West,110030,"Shop No. 2, F-352, Khasra No. 694/205/2, Old M.B. Road, Lado Sarai, South West Delhi"
517,PMBJK08795,Neha Sharma,Delhi,North West,110042,"Plot No-3 , Khasra No. 307/202 Floor Ground Mail Road , Mukundpuri Village, North West Delhi"
518,PMBJK08805,Meenakshi Bhardwaj,Delhi,East,110053,"One Shop On Gf, Property No. F-60, Kh No. 451, Main Road Subhash Mohalla, North Ghonda, East Delhi"
519,PMBJK08821,Suman Kashyap,Delhi,East,110093,"One Shop At Gf, Property No. B-1/14, B-1 Block, Nand Nagri,"
520,,,,,,East Delhi
521,PMBJK08853,Gaurav Kumar,Delhi,South West,110059,"Shop No. 2,Gf, Plot No. 15(New No. C -14), Kh No. 117/11, Gali No. 37, Mahavir Enclave Part-Iii, South West Delhi"
522,PMBJK08854,Karnika Anand,Delhi,North,110007,"Shop No. 2, G/F, Property No. C 3/Ap, Rana Pratap Bagh, North Delhi"
523,PMBJK08855,Sunita Mendiratta,Delhi,Central,110012,"Shop On Ground Floor, Property No. A-10, Budh Nagar, Inderpuri, Central Delhi"
524,PMBJK08856,Shivani Bhatia,Delhi,North East,110015,"F-395A, Old No. -D-1020A, Gf,Plot No. 3, Kh No.-640,
Sudarshan Park, North East Delhi"
525,PMBJK08877,Rahul Kumar,Delhi,South,110068,"Shop No-4, Khasra No-114/3, Neb Sarai, South Delhi"
526,PMBJK08883,Chitra Gupta,Delhi,East,110051,"Shop No. 2, Gf, Property No. J-9, New Gobind Pura Extn, Anarkali Road, Gandhi Nagar, East Delhi"
527,PMBJK08932,Aashrit Rai,Delhi,North West,110009,"One Shop At Gf, Property No. 207, Sant Nirankari Bhawan, Nirankari Colony, North West"
528,PMBJK08966,Manoj Kumar,Delhi,East,110091,"One Shop On Gf, Property No. 35/10, Trilok Puri, East Delhi"
529,PMBJK08968,Dheeraj Kumar Pathak,Delhi,North West,110086,"70 Ft Road, Village Kirari, Plot No. 20, Kh.No.1467, Suleman Nagar, Prem Nagar 2, North West"
530,PMBJK08975,Seema Devi,Delhi,North,110041,"One Shop At Property No. 227-A, G.F, Kh.No. 33/12, Pole No. 51, Shiv Ram Park, Nangloi, North Delhi"
531,PMBJK09027,Ritu Devi,Delhi,North West,110081,"Shop No. 2, Ground Floor, Khasra No. 570 And 569/1, Village Karala, North West"
532,PMBJK09028,Awashish Kumar,Delhi,South,110044,"Shop At Gf, Plot No. 2&3 (New No. B-3), Khasra No. 1032, Gagan Vihar, Meethapur Extn. Badarpur, South"
533,PMBJK09030,S Sonni Taracchandani,Delhi,South,110049,"Shop No 250 Shahpur Jat Gora Street, South"
534,PMBJK09041,Meena Devi,Delhi,South West,110067,"Shop No. 1, Gf, Property No. 119A/7, Right Of Sdmc Boys School, Village Munirka, South West Delhi"
535,PMBJK09042,Manju Devi,Delhi,South,110030,"Shop No.1, Gf, Property No. T-897, Ward No-8, Khasra No 1151/3, Near Aulia Masjid, Mehrauli, South"
536,PMBJK09086,Anurag Taneja,Delhi,South West,110046,"Shop No. 2, Rz-79, Gali No -5, Mohan Block, West Sagarpur Palam, South West Delhi"
537,PMBJK09122,Kusum,Delhi,North,110093,"One Shop At Property No. A-1/5, Gf, Kh No. 37/14, Gali No. 1, Main 20Ft Road, Harsh Vihar Near Sani, North Delhi"
538,PMBJK09123,Kavita Jha,Delhi,North,110081,"Shop No. 1, Ground Floor, Khasra No. 142/97, Village Kanjhawla, North Delhi"
539,PMBJK09124,Sonia Sharma,Delhi,East,110051,"One Shop On Gf, Plot No. C-3 Rect No. 27, Old Gobind Pura Village Khureji Khas, East Delhi"
540,PMBJK09133,Ranjeeta Goswami,Delhi,East,110092,"Shop No. G-8, Ground Floor Plot No. 02, Rg Square Mall, Patparganj, East Delhi"
541,PMBJK09136,Jyoti,Delhi,East,110092,"Shop No. 6, Gf, E-7, Hinglaj Bhawani Mandir, East Delhi"
542,PMBJK09146,Sunita Kharb,Delhi,West,110043,"Shop No.1, G.F, Plot No.3, Kh.No.205, Roshan Garden, Najafghar, Near Tura Mandi, West Delhi"
